"Fecha","Variable","Valor","Código validación","Unidad"
"02/09/2024 00:10","Brillo do Ceo Nocturno","20.952","1","mag/arsec2"
"02/09/2024 00:20","Brillo do Ceo Nocturno","20.938","1","mag/arsec2"
"02/09/2024 00:30","Brillo do Ceo Nocturno","20.841","1","mag/arsec2"
"02/09/2024 00:40","Brillo do Ceo Nocturno","20.657","1","mag/arsec2"
"02/09/2024 00:50","Brillo do Ceo Nocturno","20.631","1","mag/arsec2"
"02/09/2024 01:00","Brillo do Ceo Nocturno","20.692","1","mag/arsec2"
"02/09/2024 01:10","Brillo do Ceo Nocturno","20.712","1","mag/arsec2"
"02/09/2024 01:20","Brillo do Ceo Nocturno","20.727","1","mag/arsec2"
"02/09/2024 01:30","Brillo do Ceo Nocturno","20.757","1","mag/arsec2"
"02/09/2024 01:40","Brillo do Ceo Nocturno","20.782","1","mag/arsec2"
"02/09/2024 01:50","Brillo do Ceo Nocturno","20.768","1","mag/arsec2"
"02/09/2024 02:00","Brillo do Ceo Nocturno","20.697","1","mag/arsec2"
"02/09/2024 02:10","Brillo do Ceo Nocturno","20.762","1","mag/arsec2"
"02/09/2024 02:20","Brillo do Ceo Nocturno","20.759","1","mag/arsec2"
"02/09/2024 02:30","Brillo do Ceo Nocturno","20.877","1","mag/arsec2"
"02/09/2024 02:40","Brillo do Ceo Nocturno","20.738","1","mag/arsec2"
"02/09/2024 02:50","Brillo do Ceo Nocturno","20.893","1","mag/arsec2"
"02/09/2024 03:00","Brillo do Ceo Nocturno","20.913","1","mag/arsec2"
"02/09/2024 03:10","Brillo do Ceo Nocturno","20.999","1","mag/arsec2"
"02/09/2024 03:20","Brillo do Ceo Nocturno","20.961","1","mag/arsec2"
"02/09/2024 03:30","Brillo do Ceo Nocturno","21.123","1","mag/arsec2"
"02/09/2024 03:40","Brillo do Ceo Nocturno","20.759","1","mag/arsec2"
"02/09/2024 03:50","Brillo do Ceo Nocturno","20.707","1","mag/arsec2"
"02/09/2024 04:00","Brillo do Ceo Nocturno","20.855","1","mag/arsec2"
"02/09/2024 04:10","Brillo do Ceo Nocturno","20.997","1","mag/arsec2"
"02/09/2024 04:20","Brillo do Ceo Nocturno","20.944","1","mag/arsec2"
"02/09/2024 04:30","Brillo do Ceo Nocturno","20.766","1","mag/arsec2"
"02/09/2024 04:40","Brillo do Ceo Nocturno","20.876","1","mag/arsec2"
"02/09/2024 04:50","Brillo do Ceo Nocturno","20.766","1","mag/arsec2"
