"Fecha","Variable","Valor","Código validación","Unidad"
"01/09/2023 00:10","Brillo do Ceo Nocturno","17.345","1","mag/arsec2"
"01/09/2023 00:20","Brillo do Ceo Nocturno","17.334","1","mag/arsec2"
"01/09/2023 00:30","Brillo do Ceo Nocturno","17.306","1","mag/arsec2"
"01/09/2023 00:40","Brillo do Ceo Nocturno","17.282","1","mag/arsec2"
"01/09/2023 00:50","Brillo do Ceo Nocturno","17.185","1","mag/arsec2"
"01/09/2023 01:00","Brillo do Ceo Nocturno","17.255","1","mag/arsec2"
"01/09/2023 01:10","Brillo do Ceo Nocturno","17.295","1","mag/arsec2"
"01/09/2023 01:20","Brillo do Ceo Nocturno","17.292","1","mag/arsec2"
"01/09/2023 01:30","Brillo do Ceo Nocturno","17.041","1","mag/arsec2"
"01/09/2023 01:40","Brillo do Ceo Nocturno","16.555","1","mag/arsec2"
"01/09/2023 01:50","Brillo do Ceo Nocturno","16.920","1","mag/arsec2"
"01/09/2023 02:00","Brillo do Ceo Nocturno","16.886","1","mag/arsec2"
"01/09/2023 02:10","Brillo do Ceo Nocturno","16.587","1","mag/arsec2"
"01/09/2023 02:20","Brillo do Ceo Nocturno","16.151","1","mag/arsec2"
"01/09/2023 02:30","Brillo do Ceo Nocturno","16.074","1","mag/arsec2"
"01/09/2023 02:40","Brillo do Ceo Nocturno","15.903","1","mag/arsec2"
"01/09/2023 02:50","Brillo do Ceo Nocturno","15.995","1","mag/arsec2"
"01/09/2023 03:00","Brillo do Ceo Nocturno","16.803","1","mag/arsec2"
"01/09/2023 03:10","Brillo do Ceo Nocturno","17.384","1","mag/arsec2"
"01/09/2023 03:20","Brillo do Ceo Nocturno","17.405","1","mag/arsec2"
"01/09/2023 03:30","Brillo do Ceo Nocturno","17.494","1","mag/arsec2"
"01/09/2023 03:40","Brillo do Ceo Nocturno","17.504","1","mag/arsec2"
"01/09/2023 03:50","Brillo do Ceo Nocturno","17.246","1","mag/arsec2"
"01/09/2023 04:00","Brillo do Ceo Nocturno","17.050","1","mag/arsec2"
"01/09/2023 04:10","Brillo do Ceo Nocturno","17.346","1","mag/arsec2"
"01/09/2023 04:20","Brillo do Ceo Nocturno","17.324","1","mag/arsec2"
"01/09/2023 04:30","Brillo do Ceo Nocturno","17.396","1","mag/arsec2"
"01/09/2023 04:40","Brillo do Ceo Nocturno","17.401","1","mag/arsec2"
"01/09/2023 04:50","Brillo do Ceo Nocturno","17.264","1","mag/arsec2"
"01/09/2023 05:00","Brillo do Ceo Nocturno","17.121","1","mag/arsec2"
"01/09/2023 05:10","Brillo do Ceo Nocturno","16.865","1","mag/arsec2"
"01/09/2023 05:20","Brillo do Ceo Nocturno","16.115","1","mag/arsec2"
"01/09/2023 05:30","Brillo do Ceo Nocturno","14.579","1","mag/arsec2"
"01/09/2023 05:40","Brillo do Ceo Nocturno","12.403","1","mag/arsec2"
"01/09/2023 05:50","Brillo do Ceo Nocturno","10.202","1","mag/arsec2"
"01/09/2023 06:00","Brillo do Ceo Nocturno","8.430","1","mag/arsec2"
"01/09/2023 06:10","Brillo do Ceo Nocturno","7.413","1","mag/arsec2"
"01/09/2023 06:20","Brillo do Ceo Nocturno","6.535","1","mag/arsec2"
