"Fecha","Variable","Valor","Código validación","Unidad"
"01/09/2023 00:10","Brillo do Ceo Nocturno","16.368","1","mag/arsec2"
"01/09/2023 00:20","Brillo do Ceo Nocturno","15.995","1","mag/arsec2"
"01/09/2023 00:30","Brillo do Ceo Nocturno","16.023","1","mag/arsec2"
"01/09/2023 00:40","Brillo do Ceo Nocturno","16.025","1","mag/arsec2"
"01/09/2023 00:50","Brillo do Ceo Nocturno","16.065","1","mag/arsec2"
"01/09/2023 01:00","Brillo do Ceo Nocturno","16.119","1","mag/arsec2"
"01/09/2023 01:10","Brillo do Ceo Nocturno","16.196","1","mag/arsec2"
"01/09/2023 01:20","Brillo do Ceo Nocturno","16.287","1","mag/arsec2"
"01/09/2023 01:30","Brillo do Ceo Nocturno","16.384","1","mag/arsec2"
"01/09/2023 01:40","Brillo do Ceo Nocturno","16.378","1","mag/arsec2"
"01/09/2023 01:50","Brillo do Ceo Nocturno","16.380","1","mag/arsec2"
"01/09/2023 02:00","Brillo do Ceo Nocturno","16.379","1","mag/arsec2"
"01/09/2023 02:10","Brillo do Ceo Nocturno","16.364","1","mag/arsec2"
"01/09/2023 02:20","Brillo do Ceo Nocturno","16.381","1","mag/arsec2"
"01/09/2023 02:30","Brillo do Ceo Nocturno","16.386","1","mag/arsec2"
"01/09/2023 02:40","Brillo do Ceo Nocturno","16.363","1","mag/arsec2"
"01/09/2023 02:50","Brillo do Ceo Nocturno","16.299","1","mag/arsec2"
"01/09/2023 03:00","Brillo do Ceo Nocturno","16.227","1","mag/arsec2"
"01/09/2023 03:10","Brillo do Ceo Nocturno","16.238","1","mag/arsec2"
"01/09/2023 03:20","Brillo do Ceo Nocturno","16.389","1","mag/arsec2"
"01/09/2023 03:30","Brillo do Ceo Nocturno","16.403","1","mag/arsec2"
"01/09/2023 03:40","Brillo do Ceo Nocturno","16.285","1","mag/arsec2"
"01/09/2023 03:50","Brillo do Ceo Nocturno","16.229","1","mag/arsec2"
"01/09/2023 04:00","Brillo do Ceo Nocturno","16.152","1","mag/arsec2"
"01/09/2023 04:10","Brillo do Ceo Nocturno","15.892","1","mag/arsec2"
"01/09/2023 04:20","Brillo do Ceo Nocturno","15.863","1","mag/arsec2"
"01/09/2023 04:30","Brillo do Ceo Nocturno","15.818","1","mag/arsec2"
"01/09/2023 04:40","Brillo do Ceo Nocturno","15.918","1","mag/arsec2"
"01/09/2023 04:50","Brillo do Ceo Nocturno","15.935","1","mag/arsec2"
"01/09/2023 05:00","Brillo do Ceo Nocturno","16.035","1","mag/arsec2"
"01/09/2023 05:10","Brillo do Ceo Nocturno","15.893","1","mag/arsec2"
"01/09/2023 05:20","Brillo do Ceo Nocturno","15.621","1","mag/arsec2"
"01/09/2023 05:30","Brillo do Ceo Nocturno","14.598","1","mag/arsec2"
"01/09/2023 05:40","Brillo do Ceo Nocturno","12.462","1","mag/arsec2"
"01/09/2023 05:50","Brillo do Ceo Nocturno","10.322","1","mag/arsec2"
"01/09/2023 06:00","Brillo do Ceo Nocturno","8.837","1","mag/arsec2"
"01/09/2023 06:10","Brillo do Ceo Nocturno","7.796","1","mag/arsec2"
"01/09/2023 06:20","Brillo do Ceo Nocturno","7.117","1","mag/arsec2"
"01/09/2023 06:30","Brillo do Ceo Nocturno","6.577","1","mag/arsec2"
"01/09/2023 06:40","Brillo do Ceo Nocturno","0.584","1","mag/arsec2"
"01/09/2023 06:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 08:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 08:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 08:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 08:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 08:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 08:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 09:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 09:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 09:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 09:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 09:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 09:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 10:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 10:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 10:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 10:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 10:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 10:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 11:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 11:10","Brillo do Ceo Nocturno","0.597","1","mag/arsec2"
"01/09/2023 11:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 11:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 11:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 11:50","Brillo do Ceo Nocturno","1.799","1","mag/arsec2"
"01/09/2023 12:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 12:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 12:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 12:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 12:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 12:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 13:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 13:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 13:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 13:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 13:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 13:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 14:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 14:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 14:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 14:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 14:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 14:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 15:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 15:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 15:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 15:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 15:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 15:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 16:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 16:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 16:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 16:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 16:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 16:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 17:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 17:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 17:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 17:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 17:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 17:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 18:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 18:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 18:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 18:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 18:40","Brillo do Ceo Nocturno","5.490","1","mag/arsec2"
"01/09/2023 18:50","Brillo do Ceo Nocturno","6.681","1","mag/arsec2"
"01/09/2023 19:00","Brillo do Ceo Nocturno","7.344","1","mag/arsec2"
"01/09/2023 19:10","Brillo do Ceo Nocturno","8.300","1","mag/arsec2"
"01/09/2023 19:20","Brillo do Ceo Nocturno","9.766","1","mag/arsec2"
"01/09/2023 19:30","Brillo do Ceo Nocturno","11.515","1","mag/arsec2"
"01/09/2023 19:40","Brillo do Ceo Nocturno","13.056","1","mag/arsec2"
"01/09/2023 19:50","Brillo do Ceo Nocturno","14.366","1","mag/arsec2"
"01/09/2023 20:00","Brillo do Ceo Nocturno","15.456","1","mag/arsec2"
"01/09/2023 20:10","Brillo do Ceo Nocturno","15.770","1","mag/arsec2"
"01/09/2023 20:20","Brillo do Ceo Nocturno","15.853","1","mag/arsec2"
"01/09/2023 20:30","Brillo do Ceo Nocturno","16.032","1","mag/arsec2"
"01/09/2023 20:40","Brillo do Ceo Nocturno","16.010","1","mag/arsec2"
"01/09/2023 20:50","Brillo do Ceo Nocturno","16.059","1","mag/arsec2"
"01/09/2023 21:00","Brillo do Ceo Nocturno","16.077","1","mag/arsec2"
"01/09/2023 21:10","Brillo do Ceo Nocturno","16.307","1","mag/arsec2"
"01/09/2023 21:20","Brillo do Ceo Nocturno","16.340","1","mag/arsec2"
"01/09/2023 21:30","Brillo do Ceo Nocturno","16.343","1","mag/arsec2"
"01/09/2023 21:40","Brillo do Ceo Nocturno","16.340","1","mag/arsec2"
"01/09/2023 21:50","Brillo do Ceo Nocturno","16.348","1","mag/arsec2"
"01/09/2023 22:00","Brillo do Ceo Nocturno","16.349","1","mag/arsec2"
"01/09/2023 22:10","Brillo do Ceo Nocturno","16.359","1","mag/arsec2"
"01/09/2023 22:20","Brillo do Ceo Nocturno","16.345","1","mag/arsec2"
"01/09/2023 22:30","Brillo do Ceo Nocturno","16.352","1","mag/arsec2"
"01/09/2023 22:40","Brillo do Ceo Nocturno","16.362","1","mag/arsec2"
"01/09/2023 22:50","Brillo do Ceo Nocturno","16.388","1","mag/arsec2"
"01/09/2023 23:00","Brillo do Ceo Nocturno","16.397","1","mag/arsec2"
"01/09/2023 23:10","Brillo do Ceo Nocturno","16.628","1","mag/arsec2"
"01/09/2023 23:20","Brillo do Ceo Nocturno","16.609","1","mag/arsec2"
"01/09/2023 23:30","Brillo do Ceo Nocturno","16.633","1","mag/arsec2"
"01/09/2023 23:40","Brillo do Ceo Nocturno","16.661","1","mag/arsec2"
"01/09/2023 23:50","Brillo do Ceo Nocturno","16.681","1","mag/arsec2"
"02/09/2023 00:00","Brillo do Ceo Nocturno","16.547","1","mag/arsec2"
"02/09/2023 00:10","Brillo do Ceo Nocturno","16.669","1","mag/arsec2"
"02/09/2023 00:20","Brillo do Ceo Nocturno","16.597","1","mag/arsec2"
"02/09/2023 00:30","Brillo do Ceo Nocturno","16.623","1","mag/arsec2"
"02/09/2023 00:40","Brillo do Ceo Nocturno","16.556","1","mag/arsec2"
"02/09/2023 00:50","Brillo do Ceo Nocturno","16.622","1","mag/arsec2"
"02/09/2023 01:00","Brillo do Ceo Nocturno","16.609","1","mag/arsec2"
"02/09/2023 01:10","Brillo do Ceo Nocturno","16.610","1","mag/arsec2"
"02/09/2023 01:20","Brillo do Ceo Nocturno","16.593","1","mag/arsec2"
"02/09/2023 01:30","Brillo do Ceo Nocturno","16.324","1","mag/arsec2"
"02/09/2023 01:40","Brillo do Ceo Nocturno","16.453","1","mag/arsec2"
"02/09/2023 01:50","Brillo do Ceo Nocturno","16.614","1","mag/arsec2"
"02/09/2023 02:00","Brillo do Ceo Nocturno","16.605","1","mag/arsec2"
"02/09/2023 02:10","Brillo do Ceo Nocturno","16.598","1","mag/arsec2"
"02/09/2023 02:20","Brillo do Ceo Nocturno","16.594","1","mag/arsec2"
"02/09/2023 02:30","Brillo do Ceo Nocturno","16.588","1","mag/arsec2"
"02/09/2023 02:40","Brillo do Ceo Nocturno","16.539","1","mag/arsec2"
"02/09/2023 02:50","Brillo do Ceo Nocturno","16.581","1","mag/arsec2"
"02/09/2023 03:00","Brillo do Ceo Nocturno","16.575","1","mag/arsec2"
"02/09/2023 03:10","Brillo do Ceo Nocturno","16.584","1","mag/arsec2"
"02/09/2023 03:20","Brillo do Ceo Nocturno","16.595","1","mag/arsec2"
"02/09/2023 03:30","Brillo do Ceo Nocturno","16.602","1","mag/arsec2"
