"Fecha","Variable","Valor","Código validación","Unidad"
"01/09/2023 00:10","Brillo do Ceo Nocturno","17.877","1","mag/arsec2"
"01/09/2023 00:20","Brillo do Ceo Nocturno","17.608","1","mag/arsec2"
"01/09/2023 00:30","Brillo do Ceo Nocturno","17.273","1","mag/arsec2"
"01/09/2023 00:40","Brillo do Ceo Nocturno","17.237","1","mag/arsec2"
"01/09/2023 00:50","Brillo do Ceo Nocturno","17.335","1","mag/arsec2"
"01/09/2023 01:00","Brillo do Ceo Nocturno","17.724","1","mag/arsec2"
"01/09/2023 01:10","Brillo do Ceo Nocturno","17.919","1","mag/arsec2"
"01/09/2023 01:20","Brillo do Ceo Nocturno","17.842","1","mag/arsec2"
"01/09/2023 01:30","Brillo do Ceo Nocturno","17.788","1","mag/arsec2"
"01/09/2023 01:40","Brillo do Ceo Nocturno","17.746","1","mag/arsec2"
"01/09/2023 01:50","Brillo do Ceo Nocturno","17.783","1","mag/arsec2"
"01/09/2023 02:00","Brillo do Ceo Nocturno","17.772","1","mag/arsec2"
"01/09/2023 02:10","Brillo do Ceo Nocturno","17.380","1","mag/arsec2"
"01/09/2023 02:20","Brillo do Ceo Nocturno","17.154","1","mag/arsec2"
"01/09/2023 02:30","Brillo do Ceo Nocturno","17.465","1","mag/arsec2"
"01/09/2023 02:40","Brillo do Ceo Nocturno","17.453","1","mag/arsec2"
"01/09/2023 02:50","Brillo do Ceo Nocturno","17.653","1","mag/arsec2"
"01/09/2023 03:00","Brillo do Ceo Nocturno","17.721","1","mag/arsec2"
"01/09/2023 03:10","Brillo do Ceo Nocturno","17.786","1","mag/arsec2"
"01/09/2023 03:20","Brillo do Ceo Nocturno","17.830","1","mag/arsec2"
"01/09/2023 03:30","Brillo do Ceo Nocturno","17.947","1","mag/arsec2"
"01/09/2023 03:40","Brillo do Ceo Nocturno","18.043","1","mag/arsec2"
"01/09/2023 03:50","Brillo do Ceo Nocturno","17.612","1","mag/arsec2"
"01/09/2023 04:00","Brillo do Ceo Nocturno","17.404","1","mag/arsec2"
"01/09/2023 04:10","Brillo do Ceo Nocturno","18.314","1","mag/arsec2"
"01/09/2023 04:20","Brillo do Ceo Nocturno","18.412","1","mag/arsec2"
"01/09/2023 04:30","Brillo do Ceo Nocturno","18.088","1","mag/arsec2"
"01/09/2023 04:40","Brillo do Ceo Nocturno","17.625","1","mag/arsec2"
"01/09/2023 04:50","Brillo do Ceo Nocturno","17.801","1","mag/arsec2"
"01/09/2023 05:00","Brillo do Ceo Nocturno","17.608","1","mag/arsec2"
"01/09/2023 05:10","Brillo do Ceo Nocturno","17.111","1","mag/arsec2"
"01/09/2023 05:20","Brillo do Ceo Nocturno","16.202","1","mag/arsec2"
"01/09/2023 05:30","Brillo do Ceo Nocturno","14.479","1","mag/arsec2"
"01/09/2023 05:40","Brillo do Ceo Nocturno","12.342","1","mag/arsec2"
"01/09/2023 05:50","Brillo do Ceo Nocturno","10.147","1","mag/arsec2"
"01/09/2023 06:00","Brillo do Ceo Nocturno","8.221","1","mag/arsec2"
"01/09/2023 06:10","Brillo do Ceo Nocturno","7.001","1","mag/arsec2"
"01/09/2023 06:20","Brillo do Ceo Nocturno","6.197","1","mag/arsec2"
"01/09/2023 06:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 06:40","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 06:50","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:00","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:10","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:20","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
"01/09/2023 07:30","Brillo do Ceo Nocturno","0.000","1","mag/arsec2"
